Time,atenolol,atenolol_fit,s_at,s_at_fit,antipyrine,antipyrine_fit,s_an,s_an_fit,prazosin,prazosin_fit,s_pra,s_pra_fit,labetalol,labetalol_fit,s_la,s_la_fit,propranolol,propranolol_fit,s_pro,s_pro_fit,diltiazem,diltiazem_fit,s_d,s_d_fit
18.5,0.171269091,0.180361076,0.097741468,0.088181061,0.085367753,0.098831435,0.1491116,0.137994143,0.011288439,0.009770923,0.099821568,0.093213228,0.021728891,0.021331633,0.063385941,0.062537639,0.005221123,0.005593391,0.080982506,0.093329408,0.001768356,0.001860463,0.129963547,0.119646443
19.5,0.141962422,0.167423244,0.084023838,0.068814283,0.079804162,0.086622257,0.12992592,0.115056659,0.007135145,0.008817074,0.089238468,0.079324674,0.018928749,0.018759425,0.048280942,0.056160943,0.004970795,0.005341537,0.072416169,0.076347559,0.001851573,0.001784196,0.120099651,0.101950604
22,0.111284474,0.126762125,0.045806251,0.039136004,0.051429843,0.062810861,0.08878183,0.075428243,0.007401382,0.007367291,0.05896617,0.056530551,0.013863085,0.01398711,0.041445213,0.044304144,0.004291334,0.004781978,0.050983803,0.049272441,0.001414685,0.001621877,0.074053521,0.072552261
26,0.071992089,0.071159918,0.024011297,0.019843595,0.034127072,0.038546007,0.054202919,0.044894349,0.006549424,0.005904249,0.032787291,0.037340576,0.009408795,0.009097967,0.034951634,0.031973864,0.003933723,0.004061759,0.030242164,0.03010162,0.001352272,0.001429083,0.064977307,0.049788449
30,0.048100209,0.040327899,0.01447679,0.012668302,0.02015133,0.024265882,0.040904607,0.031377582,0.004952004,0.004809345,0.023313486,0.026478411,0.006584833,0.006189751,0.018956367,0.023859218,0.00354035,0.0035107,0.019741832,0.021741008,0.001581118,0.001299874,0.042819069,0.03770929
34,0.03150423,0.025419303,0.009996367,0.009138499,0.013041059,0.015639208,0.028399574,0.023665771,0.003940304,0.003951084,0.017384633,0.019336444,0.004329898,0.004457318,0.01662335,0.018156732,0.003254262,0.003086188,0.016766929,0.016761218,0.001477097,0.001212981,0.029388676,0.029099459
38,0.021114163,0.017750292,0.006202664,0.006967558,0.01011461,0.01036534,0.019010678,0.018356395,0.003674067,0.003276405,0.014243693,0.014335133,0.003287123,0.003419202,0.011757648,0.014015654,0.002932411,0.002755972,0.012365886,0.01319135,0.001206643,0.001156515,0.022504981,0.022372871
45,0.010688935,0.010696104,0.003786585,0.004595209,0.005797263,0.005501363,0.010178127,0.012032119,0.002129894,0.00242152,0.008304025,0.008690921,0.002485192,0.002471267,0.009036926,0.009150216,0.002467517,0.002334847,0.008398888,0.008808001,0.001185839,0.001097027,0.012003631,0.013932036
55,0.00471157,0.005559187,0.003388791,0.002700448,0.003182373,0.002757878,0.00530148,0.006730084,0.001650668,0.001670311,0.004311029,0.004417143,0.001921459,0.001893829,0.002917967,0.005206149,0.001966861,0.00194089,0.005196953,0.005035576,0.000936188,0.001053211,0.006572682,0.006979031
65,0.002478848,0.002937018,0.001927419,0.001660004,0.00201402,0.001694255,0.004412226,0.003844303,0.001171442,0.001234337,0.002477913,0.002323258,0.001323319,0.001597075,0.002494884,0.003082241,0.001859578,0.001673535,0.002870054,0.002933081,0.001061013,0.001025065,0.002800739,0.003488375
75,0.001652566,0.001568279,0.001357945,0.001053523,0.001279626,0.001164616,0.002404283,0.00223729,0.001064947,0.000965193,0.002011479,0.001254921,0,0.001384084,0.001443233,0.001880005,0.001501967,0.00146962,0.002410384,0.001737447,0.000956993,0.001000044,0.001724781,0.001751469
85,0.001019668,0.000845282,0.00057073,0.000685065,0.000834539,0.000843639,0.001951409,0.001323189,0.000851958,0.000785948,0.000509611,0.000692298,0,0.001207999,0.001702511,0.001173461,0.0012874,0.001301233,0.001072648,0.001044329,0.001019405,0.000974566,0.000926542,0.000885262
105,0,0.000250667,0.00029412,0.000305681,0.000623122,0.000473201,0.000309364,0.000481262,0.000585721,0.000557987,0.000307019,0.000221059,0,0.000923634,0.000428899,0.000481385,0.00096555,0.001027736,0.00030295,0.000391031,0.000869755,0.000920066,0.000308408,0.00023096
135,0,4.17203e-05,0.000101311,9.98916e-05,0,0.000215391,0.000110392,0.000113475,0.000319484,0.000355851,0,4.33964e-05,0,0.000617814,0.000261216,0.000138266,0.0006437,0.000720693,0.00014,9.57949e-05,0.000832167,0.000831721,0,3.22454e-05
165,0,7.07767e-06,0,3.50826e-05,0,0.000104039,2.44266e-05,2.84155e-05,0.000239613,0.000230731,0,9.11353e-06,0,0.00041285,0.000147328,4.2606e-05,0.000500656,0.000501917,0,2.48328e-05,0.000769755,0.000740606,0,4.70443e-06
195,0,1.21469e-06,0,1.29317e-05,0,5.23755e-05,0,7.42153e-06,0.000143768,0.00014983,0,2.00384e-06,0,0.000275576,0,1.36288e-05,0.000357611,0.000347166,0,6.70004e-06,0.000690559,0.000651398,0,7.0956e-07
225,0,2.10265e-07,0,4.93503e-06,0,2.71852e-05,0,1.99937e-06,9.58452e-05,9.72194e-05,0,4.55496e-07,0,0.000183741,0,4.60257e-06,0.00025748,0.000238663,0,1.86217e-06,0.000540909,0.00056667,0,1.09802e-07
